scenario	maximum_symptom_onset_time	susceptible_population_proportion	antiviral_coverage_time	antiviral_success_rate	hospital_success_without_antiviral	hospital_success_with_antiviral	hospital_beds_per_person	antiviral_doses_per_person	hospital_stay_duration_min	hospital_stay_duration_max
389	120.0	0.75	10.0	0.5	0.3	0.5	0.005	0.5	2.0	5.0
390	60.0	0.25	15.0	0.5	0.3	0.5	0.005	0.5	2.0	5.0
391	120.0	0.25	15.0	0.5	0.3	0.5	0.005	0.5	2.0	5.0
392	60.0	0.5	15.0	0.5	0.3	0.5	0.005	0.5	2.0	5.0
393	120.0	0.5	15.0	0.5	0.3	0.5	0.005	0.5	2.0	5.0
394	60.0	0.75	15.0	0.5	0.3	0.5	0.005	0.5	2.0	5.0
395	120.0	0.75	15.0	0.5	0.3	0.5	0.005	0.5	2.0	5.0
396	60.0	0.25	10.0	0.8	0.3	0.5	0.005	0.5	2.0	5.0
397	120.0	0.25	10.0	0.8	0.3	0.5	0.005	0.5	2.0	5.0
398	60.0	0.5	10.0	0.8	0.3	0.5	0.005	0.5	2.0	5.0
399	120.0	0.5	10.0	0.8	0.3	0.5	0.005	0.5	2.0	5.0
400	60.0	0.75	10.0	0.8	0.3	0.5	0.005	0.5	2.0	5.0
401	120.0	0.75	10.0	0.8	0.3	0.5	0.005	0.5	2.0	5.0
402	60.0	0.25	15.0	0.8	0.3	0.5	0.005	0.5	2.0	5.0
403	120.0	0.25	15.0	0.8	0.3	0.5	0.005	0.5	2.0	5.0
404	60.0	0.5	15.0	0.8	0.3	0.5	0.005	0.5	2.0	5.0
405	120.0	0.5	15.0	0.8	0.3	0.5	0.005	0.5	2.0	5.0
406	60.0	0.75	15.0	0.8	0.3	0.5	0.005	0.5	2.0	5.0
407	120.0	0.75	15.0	0.8	0.3	0.5	0.005	0.5	2.0	5.0
408	60.0	0.25	10.0	0.5	5.0	0.75	0.005	0.5	2.0	5.0
409	120.0	0.25	10.0	0.5	5.0	0.75	0.005	0.5	2.0	5.0
410	60.0	0.5	10.0	0.5	5.0	0.75	0.005	0.5	2.0	5.0
411	120.0	0.5	10.0	0.5	5.0	0.75	0.005	0.5	2.0	5.0
412	60.0	0.75	10.0	0.5	5.0	0.75	0.005	0.5	2.0	5.0
413	120.0	0.75	10.0	0.5	5.0	0.75	0.005	0.5	2.0	5.0
414	60.0	0.25	15.0	0.5	5.0	0.75	0.005	0.5	2.0	5.0
415	120.0	0.25	15.0	0.5	5.0	0.75	0.005	0.5	2.0	5.0
416	60.0	0.5	15.0	0.5	5.0	0.75	0.005	0.5	2.0	5.0
417	120.0	0.5	15.0	0.5	5.0	0.75	0.005	0.5	2.0	5.0
418	60.0	0.75	15.0	0.5	5.0	0.75	0.005	0.5	2.0	5.0
419	120.0	0.75	15.0	0.5	5.0	0.75	0.005	0.5	2.0	5.0
420	60.0	0.25	10.0	0.8	5.0	0.75	0.005	0.5	2.0	5.0
421	120.0	0.25	10.0	0.8	5.0	0.75	0.005	0.5	2.0	5.0
422	60.0	0.5	10.0	0.8	5.0	0.75	0.005	0.5	2.0	5.0
423	120.0	0.5	10.0	0.8	5.0	0.75	0.005	0.5	2.0	5.0
424	60.0	0.75	10.0	0.8	5.0	0.75	0.005	0.5	2.0	5.0
425	120.0	0.75	10.0	0.8	5.0	0.75	0.005	0.5	2.0	5.0
426	60.0	0.25	15.0	0.8	5.0	0.75	0.005	0.5	2.0	5.0
427	120.0	0.25	15.0	0.8	5.0	0.75	0.005	0.5	2.0	5.0
428	60.0	0.5	15.0	0.8	5.0	0.75	0.005	0.5	2.0	5.0
429	120.0	0.5	15.0	0.8	5.0	0.75	0.005	0.5	2.0	5.0
430	60.0	0.75	15.0	0.8	5.0	0.75	0.005	0.5	2.0	5.0
431	120.0	0.75	15.0	0.8	5.0	0.75	0.005	0.5	2.0	5.0
432	60.0	0.25	10.0	0.5	0.3	0.5	0.001	0.1	5.0	10.0
433	120.0	0.25	10.0	0.5	0.3	0.5	0.001	0.1	5.0	10.0
434	60.0	0.5	10.0	0.5	0.3	0.5	0.001	0.1	5.0	10.0
435	120.0	0.5	10.0	0.5	0.3	0.5	0.001	0.1	5.0	10.0
436	60.0	0.75	10.0	0.5	0.3	0.5	0.001	0.1	5.0	10.0
437	120.0	0.75	10.0	0.5	0.3	0.5	0.001	0.1	5.0	10.0
438	60.0	0.25	15.0	0.5	0.3	0.5	0.001	0.1	5.0	10.0
439	120.0	0.25	15.0	0.5	0.3	0.5	0.001	0.1	5.0	10.0
440	60.0	0.5	15.0	0.5	0.3	0.5	0.001	0.1	5.0	10.0
441	120.0	0.5	15.0	0.5	0.3	0.5	0.001	0.1	5.0	10.0
442	60.0	0.75	15.0	0.5	0.3	0.5	0.001	0.1	5.0	10.0
443	120.0	0.75	15.0	0.5	0.3	0.5	0.001	0.1	5.0	10.0
444	60.0	0.25	10.0	0.8	0.3	0.5	0.001	0.1	5.0	10.0
445	120.0	0.25	10.0	0.8	0.3	0.5	0.001	0.1	5.0	10.0
446	60.0	0.5	10.0	0.8	0.3	0.5	0.001	0.1	5.0	10.0
447	120.0	0.5	10.0	0.8	0.3	0.5	0.001	0.1	5.0	10.0
448	60.0	0.75	10.0	0.8	0.3	0.5	0.001	0.1	5.0	10.0
449	120.0	0.75	10.0	0.8	0.3	0.5	0.001	0.1	5.0	10.0
450	60.0	0.25	15.0	0.8	0.3	0.5	0.001	0.1	5.0	10.0
451	120.0	0.25	15.0	0.8	0.3	0.5	0.001	0.1	5.0	10.0
452	60.0	0.5	15.0	0.8	0.3	0.5	0.001	0.1	5.0	10.0
453	120.0	0.5	15.0	0.8	0.3	0.5	0.001	0.1	5.0	10.0
454	60.0	0.75	15.0	0.8	0.3	0.5	0.001	0.1	5.0	10.0
455	120.0	0.75	15.0	0.8	0.3	0.5	0.001	0.1	5.0	10.0
456	60.0	0.25	10.0	0.5	5.0	0.75	0.001	0.1	5.0	10.0
457	120.0	0.25	10.0	0.5	5.0	0.75	0.001	0.1	5.0	10.0
458	60.0	0.5	10.0	0.5	5.0	0.75	0.001	0.1	5.0	10.0
459	120.0	0.5	10.0	0.5	5.0	0.75	0.001	0.1	5.0	10.0
460	60.0	0.75	10.0	0.5	5.0	0.75	0.001	0.1	5.0	10.0
461	120.0	0.75	10.0	0.5	5.0	0.75	0.001	0.1	5.0	10.0
462	60.0	0.25	15.0	0.5	5.0	0.75	0.001	0.1	5.0	10.0
463	120.0	0.25	15.0	0.5	5.0	0.75	0.001	0.1	5.0	10.0
464	60.0	0.5	15.0	0.5	5.0	0.75	0.001	0.1	5.0	10.0
465	120.0	0.5	15.0	0.5	5.0	0.75	0.001	0.1	5.0	10.0
